#pt	totcs	totdirect	directLO	directNLO	totfrag	fragLO	err_fragLO	fragNLO	err_fragNLO	errmess
0.50000000000000000	42211811.521278702	-9083918.3167270441	4092411.2099023117	-13176329.526629355	51295729.838005744	23829727.490752287	-1	27466002.347253457	-1	Error
0.75000000000000000	9081943.0838939585	-775249.59146863688	1395296.1605556000	-2170545.7520242371	9857192.6753625963	4307029.5632179035	-1	5550163.1121446928	-1	Error
1.0000000000000000	2479149.7485435270	22873.244388468331	508884.33428931487	-486011.08990084648	2456276.5041550589	1070634.3070848456	-1	1385642.1970702133	-1	Error
1.2500000000000000	864806.06023320626	79642.885829300911	211915.96375965554	-132273.07793035463	785163.17440390540	340632.41577681981	-1	444530.75862708560	-1	Error
1.5000000000000000	358596.73939540749	58440.065360029417	98592.959653386861	-40152.894293357451	300156.67403537809	130091.44531647634	-1	170065.22871890175	-1	Error
1.7500000000000000	169078.97974136946	37610.133378498642	50228.434444996790	-12618.301066498154	131468.84636287083	56821.877386124208	-1	74646.968976746619	-1	Error
2.0000000000000000	87256.206394850306	23829.545023397295	27460.406245226328	-3630.8612218290350	63426.661371453010	27308.092472593333	-1	36118.568898859681	-1	Error
2.2500000000000000	48491.453610763798	15287.616918216936	15885.409929629663	-597.79301141272265	33203.836692546865	14229.676534498763	-1	18974.160158048100	-1	Error
2.5000000000000000	28513.234752630371	10007.278278297794	9623.4780802000168	383.80019809778082	18505.956474332579	7887.5986428606602	-1	10618.357831471920	-1	Error
2.7500000000000000	17446.061530950952	6693.5205816942025	6058.5632354681838	634.95734622601628	10752.540949256749	4594.9036505387940	-1	6157.6372987179548	-1	Error
3.0000000000000000	11135.990809827912	4571.2404794200229	3939.9399251224454	631.30055429757738	6564.7503304078882	2788.9440990818239	-1	3775.8062313260643	-1	Error
3.2500000000000000	7331.4795341928530	3182.5890225774792	2634.2544125898271	548.33460998765179	4148.8905116153737	1753.7042494581390	-1	2395.1862621572345	-1	Error
3.5000000000000000	4955.2662461696491	2255.5874202523414	1804.1989112517331	451.38850900060885	2699.6788259173081	1136.6239096469933	-1	1563.0549162703148	-1	Error
3.7500000000000000	3427.0182841397409	1624.6463594997927	1261.9986158511838	362.64774364860921	1802.3719246399485	756.33211958406139	-1	1046.0398050558870	-1	Error
4.0000000000000000	2419.4270537545735	1187.5820389048467	899.30392639265199	288.27811251219464	1231.8450148497266	514.96988036314485	-1	716.87513448658171	-1	OK
4.2500000000000000	1739.2421326066760	879.75780822675199	651.48845641071853	228.26935181603352	859.48432437992392	357.75998875983078	-1	501.72433562009314	-1	OK
4.5000000000000000	1270.1214072044736	659.72095017860238	478.98090414050023	180.74004603810201	610.40045702587111	252.99603432513456	-1	357.40442270073652	-1	OK
4.7500000000000000	940.52917430948855	500.28932908281729	356.87095799421371	143.41837108860361	440.23984522667126	181.79704053353231	-1	258.44280469313895	-1	OK
5.0000000000000000	705.42132167965201	383.30759533203877	269.11636630834960	114.19122902368922	322.11372634761324	132.55304214695619	-1	189.56068420065705	-1	OK
5.2500000000000000	535.34492331265915	296.46756371913477	205.17970036671173	91.287863352423102	238.87735959352440	97.921458945266579	-1	140.95590064825782	-1	OK
5.5000000000000000	410.62510874538987	231.32070866960862	158.01210543846474	73.308603231143792	179.30440007578122	73.214765499862480	-1	106.08963457591874	-1	OK
5.7500000000000000	317.96912373765088	181.95004728343736	122.81065006439519	59.139397219042117	136.01907645421352	55.270659252875440	-1	80.748417201338071	-1	OK
6.0000000000000000	248.40131192809034	144.19013858777521	96.261965510301934	47.928173077473282	104.21117334031513	42.143473206853855	-1	62.067700133461273	-1	OK
6.2500000000000000	195.66922099735285	115.06507952078212	76.044699562720425	39.020379958061689	80.604141476570746	32.483179445074107	-1	48.120962031496639	-1	OK
6.5000000000000000	155.27751302763664	92.420481617740521	60.510323735532104	31.910157882208413	62.857031409896109	25.255823875131984	-1	37.601207534764129	-1	OK
6.7500000000000000	124.08131605951479	74.684746732714274	48.474937419866798	26.209809312847462	49.396569326800510	19.795730067123735	-1	29.600839259676775	-1	OK
7.0000000000000000	99.785751299831347	60.696988057341095	39.077860636829698	21.619127420511390	39.088763242490252	15.631549323889846	-1	23.457213918600406	-1	OK
7.2500000000000000	80.739492066411515	49.591466686694815	31.687379740843173	17.904086945851642	31.148025379716699	12.429122814324051	-1	18.718902565392646	-1	OK
7.5000000000000000	65.712279142199733	40.721845833198294	25.836196774319973	14.885649058878320	24.990433309001439	9.9433271340504064	-1	15.047106174951033	-1	OK
7.7500000000000000	53.770326597225278	33.597428127465328	21.174256748557926	12.423171378907403	20.172898469759950	8.0063337442823350	-1	12.166564725477615	-1	OK
8.0000000000000000	44.212406512663961	27.842849227723551	17.437591588615646	10.405257639107907	16.369557284940406	6.4827833425571217	-1	9.8867739423832841	-1	OK
8.2500000000000000	36.528629683985173	23.170694484728713	14.425796908067422	8.7448975766612875	13.357935199256456	5.2769486491445781	-1	8.0809865501118772	-1	OK
8.5000000000000000	30.313625184297056	19.359461945015219	11.985588525379619	7.3738734196356015	10.954163239281836	4.3111099622610869	-1	6.6430532770207495	-1	OK
8.7500000000000000	25.260258669885040	16.236380330089148	9.9986438034542449	6.2377365266349036	9.0238783397958908	3.5323896794735576	-1	5.4914886603223332	-1	OK
9.0000000000000000	21.130736046708755	13.665693029213720	8.3730742176257831	5.2926188115879373	7.4650430174950362	2.9161192146697350	-1	4.5489238028253016	-1	OK
