#pt	totcs	totdirect	directLO	directNLO	totfrag	fragLO	err_fragLO	fragNLO	err_fragNLO	errmess
0.50000000000000000	282031903.55626333	-102439781.10006870	29484145.126020405	-131923926.22608911	384471684.65633202	216790141.92396411	-1	167681542.73236790	-1	Error
0.75000000000000000	82659795.310921669	-18033319.816899821	11175226.235143578	-29208546.052043397	100693115.12782149	54072143.536542058	-1	46620971.591279432	-1	Error
1.0000000000000000	26769858.741378650	-4354272.9352376927	4548780.7604861641	-8903053.6957238577	31124131.676616345	16985180.048072807	-1	14138951.628543537	-1	Error
1.2500000000000000	10418546.111137128	-1244165.8593435213	2080063.9218314223	-3324229.7811749433	11662711.970480649	6508672.7935351990	-1	5154039.1769454498	-1	Error
1.5000000000000000	4698103.4170211237	-380748.02924900828	1049865.0712244269	-1430613.1004734356	5078851.4462701324	2879348.6558357240	-1	2199502.7904344085	-1	Error
1.7500000000000000	2367602.0042774584	-111526.19538269332	576277.99273476307	-687804.18811745627	2479128.1996601517	1425682.8457697048	-1	1053445.3538904469	-1	Error
2.0000000000000000	1302396.7199765090	-21830.682875205646	337620.12624555180	-359450.80912075745	1324227.4028517148	774957.43574821344	-1	549269.96710350132	-1	Error
2.2500000000000000	765969.06444435695	7863.3099958401872	208451.92495079210	-200588.61495495189	758105.75444851676	446854.66783387156	-1	311251.08661464520	-1	Error
2.5000000000000000	475189.44150647352	16338.968605698145	134356.74705116780	-118017.77844546970	458850.47290077538	271150.35702400369	-1	187700.11587677168	-1	Error
2.7500000000000000	307535.70971402782	17223.833483084833	89754.133098791717	-72530.299615706885	290311.87623094296	172244.90602608392	-1	118066.97020485904	-1	Error
3.0000000000000000	206219.58186145645	15575.522819438498	61807.901498818319	-46232.378679379828	190644.05904201794	113471.58005984141	-1	77172.478982176530	-1	Error
3.2500000000000000	142503.65422756376	13287.139596796958	43685.782379594522	-30398.642782797571	129216.51463076680	77086.461467541652	-1	52130.053163225151	-1	Error
3.5000000000000000	101079.45742563214	11051.793991670005	31580.869939855391	-20529.075948185386	90027.663433962123	53778.465240477031	-1	36249.198193485092	-1	Error
3.7500000000000000	73245.227261719934	9094.8172666415558	23284.630780711166	-14189.813514069605	64150.409995078386	38387.522418298991	-1	25762.887576779394	-1	Error
4.0000000000000000	54182.911437832430	7459.1436127081215	17469.230288257335	-10010.086675549213	46723.767825124312	27954.239613981837	-1	18769.528211142475	-1	OK
4.2500000000000000	40578.547558124919	6121.0668916127870	13310.877507615560	-7189.8106160027719	34457.480666512129	20690.959745251192	-1	13766.520921260937	-1	OK
4.5000000000000000	31048.083967218547	5036.3716636306781	10283.958705626026	-5247.5870419953490	26011.712303587869	15581.966070601118	-1	10429.746232986750	-1	OK
4.7500000000000000	24022.821879308904	4159.8514441935531	8045.1862156179332	-3885.3347714243801	19862.970435115352	11903.163497141411	-1	7959.8069379739409	-1	OK
5.0000000000000000	18836.722870612110	3451.1722177902902	6365.2589011652690	-2914.0866833749760	15385.550652821817	9210.4419942545464	-1	6175.1086585672710	-1	OK
5.2500000000000000	14938.165958846101	2876.7381633081777	5088.0893291770290	-2211.3511658688512	12061.427795537924	7210.2395181014217	-1	4851.1882774365022	-1	OK
5.5000000000000000	11965.594393204490	2409.5061072602184	4105.5124686143781	-1696.0063613541597	9556.0882859442718	5698.5889722539650	-1	3857.4993136903067	-1	OK
5.7500000000000000	9672.3687473967948	2027.9096377480882	3341.3234616352725	-1313.4138238871835	7644.4591096487065	4554.1866908178390	-1	3090.2724188308675	-1	OK
6.0000000000000000	7885.1747907455692	1714.8673348479806	2741.0240285508180	-1026.1566937028367	6170.3074558975886	3666.3516588140515	-1	2503.9557970835372	-1	OK
6.2500000000000000	6477.2600219588667	1456.8648923008122	2265.0920803195818	-808.22718801876965	5020.3951296580544	2980.5637554606683	-1	2039.8313741973861	-1	OK
6.5000000000000000	5356.8517794773506	1243.1835997904350	1884.5262035285609	-641.34260373812606	4113.6681796869152	2441.4398288889515	-1	1672.2283507979637	-1	OK
6.7500000000000000	4461.8842106183074	1065.3616797707907	1577.8039529354380	-512.44227316464730	3396.5225308475169	2013.9557380886722	-1	1382.5667927588447	-1	OK
7.0000000000000000	3738.0046683280534	916.71697526498247	1328.7799967024589	-412.06302143747632	2821.2876930630709	1672.2126849259821	-1	1149.0750081370888	-1	OK
7.2500000000000000	3150.4641204027657	791.91540512208894	1125.2132190873579	-333.29781396526892	2358.5487152806768	1396.9253424283454	-1	961.62337285233139	-1	OK
7.5000000000000000	2669.6227764372197	686.67317070593072	957.73561373034670	-271.06244302441615	1982.9496057312892	1173.6124003629084	-1	809.33720536838086	-1	OK
7.7500000000000000	2273.6500561426274	597.56124638804670	819.12350471789421	-221.56225832984748	1676.0888097545806	991.21707746629716	-1	684.87173228828340	-1	OK
8.0000000000000000	1945.5894684203217	521.79931343502858	703.75166986704426	-181.95235643201565	1423.7901549852932	841.37266875322962	-1	582.41748623206354	-1	OK
8.2500000000000000	1672.2457582067850	457.13455326753251	607.21348095723977	-150.07892768970731	1215.1112049392525	717.54931706539116	-1	497.56188787386134	-1	OK
8.5000000000000000	1443.5173908328179	401.73816249819947	526.02987351019476	-124.29171101199539	1041.7792283346184	614.68123899259081	-1	427.09798934202763	-1	OK
8.7500000000000000	1251.0259006822012	354.11204236660978	457.43673035535704	-103.32468798874734	896.91385831559137	528.75408496252408	-1	368.15977335306729	-1	OK
9.0000000000000000	1087.4357691611140	313.02857869258725	399.22335671430903	-86.194778021721746	774.40719046852678	456.64359340566347	-1	317.76359706286331	-1	OK
9.2500000000000000	949.25422164165184	277.47353381206682	349.61024566562867	-72.136711853561792	671.78068782958508	395.85267335375642	-1	275.92801447582866	-1	OK
