#pt	totcs	totdirect	directLO	directNLO	totfrag	fragLO	err_fragLO	fragNLO	err_fragNLO	errmess
0.50000000000000000	135877421.33250797	-62115618.063550860	13835176.465444552	-75950794.528995410	197993039.39605883	124003465.28657514	-1	73989574.109483689	-1	Error
0.75000000000000000	49486644.541059241	-13128606.775304001	6336338.1434410624	-19464944.918745060	62615251.316363245	35652216.379888438	-1	26963034.936474808	-1	Error
1.0000000000000000	17136120.781637579	-3536857.0859915297	2798508.0053276801	-6335365.0913192127	20672977.867629111	11930833.850224201	-1	8742144.0174049102	-1	Error
1.2500000000000000	7092794.5103853513	-1126746.1491389950	1343385.9918542898	-2470132.1409932845	8219540.6595243467	4747501.8166435277	-1	3472038.8428808190	-1	Error
1.5000000000000000	3293972.2932362258	-397845.05572645110	701222.02042224770	-1099067.0761486988	3691817.3489626772	2168453.4342397046	-1	1523363.9147229725	-1	Error
1.7500000000000000	1691638.0320785926	-148327.66153749416	394919.70083891944	-543247.36237641354	1839965.6936160868	1097129.0197648692	-1	742836.67385121761	-1	Error
2.0000000000000000	943372.03307248279	-54569.307274801657	236187.58577157959	-290756.89304638118	997941.34034728445	602050.37392004090	-1	395890.96642724355	-1	Error
2.2500000000000000	559889.29113281425	-17359.219039594755	148353.78941740771	-165713.00845700246	577248.51017240901	352285.36072734476	-1	224963.14944506425	-1	Error
2.5000000000000000	352029.81891517248	-2327.7195186820172	97038.773557270979	-99366.493075952996	354357.53843385447	217380.79908762791	-1	136976.73934622656	-1	Error
2.7500000000000000	230562.05042416177	3526.3812629750755	65662.548376696097	-62136.167113721029	227035.66916118670	140364.18221953372	-1	86671.486941652984	-1	Error
3.0000000000000000	156200.14634449585	5489.0583214815124	45736.494496945736	-40247.436175464216	150711.08802301434	93419.871293463439	-1	57291.216729550899	-1	Error
3.2500000000000000	108948.06659593602	5796.1759190259108	32660.417101374773	-26864.241182348862	103151.89067691012	64059.436448989480	-1	39092.454227920636	-1	Error
3.5000000000000000	77928.982861957280	5431.0886402314572	23832.072957791417	-18400.984317559960	72497.894221725830	45052.577731585101	-1	27445.316490140729	-1	Error
3.7500000000000000	57012.381507961596	4830.8545958130635	17722.426691979439	-12891.572096166374	52181.526912148533	32396.823325539510	-1	19784.703586609023	-1	Error
4.0000000000000000	42490.808599116819	4189.3137382816676	13401.706113665037	-9212.3923753833697	38301.494860835155	23756.722757369698	-1	14544.772103465457	-1	OK
4.2500000000000000	32200.257610948604	3587.2542427145199	10286.982925396735	-6699.7286826822155	28613.003368234084	17723.814424447508	-1	10889.188943786576	-1	OK
4.5000000000000000	24736.741534658093	3053.4307077136218	8002.5833790449415	-4949.1526713313197	21683.310826944471	13427.122429133944	-1	8256.1883978105270	-1	OK
4.7500000000000000	19271.590561266668	2593.4694388615844	6301.0607326387089	-3707.5912937771250	16678.121122405086	10314.419451184223	-1	6363.7016712208624	-1	OK
5.0000000000000000	15065.166830204133	2202.9535306977050	5015.8148872686052	-2812.8613565708988	12862.213299506428	8012.1908392693276	-1	4850.0224602370999	-1	OK
