#pt	totcs	totdirect	directLO	directNLO	totfrag	fragLO	err_fragLO	fragNLO	err_fragNLO	errmess
0.50000000000000000	-1653562085.5538397	-1717831242.9377036	-36331551.482281625	-1681499691.4554222	64269157.383863889	27395386.774631482	-1	36873770.609232411	-1	Error
0.75000000000000000	-105391061.10357265	-118463795.78687215	8061718.9866100876	-126525514.77348235	13072734.683299495	4956640.5389069105	-1	8116094.1443925845	-1	Error
1.0000000000000000	4594800.8872091416	799620.49105188809	626930.63656444382	172689.85448744599	3795180.3961572540	1453750.5882189246	-1	2341429.8079383294	-1	Error
1.2500000000000000	1896341.2881008785	524301.79052124918	186777.10926638750	337524.68125486193	1372039.4975796293	549338.90644218877	-1	822700.59113744053	-1	Error
1.5000000000000000	824781.39285489544	251620.41242267343	75974.210317854406	175646.20210481892	573160.98043222202	245009.10324376551	-1	328151.87718845648	-1	Error
1.7500000000000000	392618.75120037183	128278.67193481914	36664.198965806892	91614.472969012233	264340.07926555269	122275.42559932859	-1	142064.65366622410	-1	Error
2.0000000000000000	202064.49226700846	70318.842458549974	19790.408994159450	50528.433464390553	131745.64980845849	66310.359023271347	-1	65435.290785187142	-1	Error
2.2500000000000000	109462.48092349659	41019.574071053510	11572.672136930869	29446.901934122649	68442.906852443077	38309.371494112042	-1	30133.535358331035	-1	Error
2.5000000000000000	62976.808318974887	25184.127838797292	7187.9474703759279	17996.180368421366	37792.680480177594	23309.640542696889	-1	14483.039937480706	-1	Error
2.7500000000000000	37675.265741902724	16128.772453550597	4680.5753567443171	11448.197096806280	21546.493288352125	14788.817279814170	-1	6757.6760085379556	-1	Error
3.0000000000000000	23137.336764339954	10832.250926967319	3421.3080703321120	7410.9428566352090	12305.085837372633	9381.0027260773750	-1	2924.0831112952583	-1	Error
3.2500000000000000	14537.090499024514	7444.1275053535064	2592.8150479790165	4851.3124573744872	7092.9629936710071	5807.3150952349706	-1	1285.6478984360365	-1	Error
3.5000000000000000	9495.8950554752282	5198.9871901667848	1961.0677736989960	3237.9194164677888	4296.9078653084434	3687.6246425959380	-1	609.28322271250545	-1	Error
3.7500000000000000	6405.7844988337674	3689.0979162837411	1487.1016885156389	2201.9962277681034	2716.6865825500263	2395.3952313973632	-1	321.29135115266308	-1	Error
4.0000000000000000	4430.0817918577814	2657.6292361910023	1133.3633293145479	1524.2659068764547	1772.4525556667786	1594.0260095432395	-1	178.42654612353908	-1	OK
4.2500000000000000	3134.1075783396109	1942.1353202986670	869.34664757273652	1072.7886727259306	1191.9722580409436	1086.4512003344669	-1	105.52105770647677	-1	OK
